,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
2,83,409,ST地矿,山东地矿股份有限公司,济南市,历城区,17.31亿,-4.74亿,1548,1996-06-27,--,,综合,主营业务:矿石的开采、加工及矿产品销售,矿石的开采、加工及矿产品销售
3,84,410,*ST沈机,沈阳机床股份有限公司,沈阳市,于洪区,9.44亿,-25.80亿,8338,1996-07-18,--,,机床设备,主营业务:金属切削机床制造,金属切削机床制造
4,85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,183.13亿,2.78亿,2400,1996-07-16,--,,医药商业,主营业务:主要从事药品及医疗器械批发业务,主要从事药品及医疗器械批发业务
5,86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,125.66亿,11.86亿,8606,1996-09-25,--,,显示器件,主营业务:电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
6,87,415,渤海租赁,渤海租赁股份有限公司,乌鲁木齐市,沙依巴克区,262.63亿,32.47亿,818,1996-07-16,--,,其他非银行金融,主营业务:融资租赁和经营性租赁,融资租赁和经营性租赁
7,88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,6087.46万,3196.04万,51,1996-07-19,--,,其他非银行金融,主营业务:典当、财富管理及保险经纪,典当、财富管理及保险经纪
8,89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,83.83亿,2.40亿,9558,1996-08-12,--,,百货,主营业务:百货零售业、农产品交易市场两大类业务,百货零售业、农产品交易市场两大类业务
9,90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,--,--,11459,1997-03-28,--,,洗衣机,主营业务:家用洗衣机的研发、生产和销售,家用洗衣机的研发、生产和销售
10,91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,26.69亿,1.61亿,3071,1996-08-16,--,,百货,主营业务:商业零售业、典当业及旅游酒店业,商业零售业、典当业及旅游酒店业
11,92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,19.49亿,9338.98万,5302,1996-08-02,--,,粘胶纤维,主营业务:从事粘胶纤维的生产、研发和销售,从事粘胶纤维的生产、研发和销售
