job_name,job_area,salary,experience,edu,skill,welfare,company_name,industry,stage,population
Python,深圳·龙岗区,12-20K,3-5年,本科,机器学习 Java Scala 统招本科 开发经验,餐补，五险一金，带薪年假，加班补助，兴趣协会,深圳市凡厘科技有...,移动互联网,不需要融资,1000-9999人
Python,深圳·福田区,20-40K,3-5年,本科,Hadoop Java Tornado Web框架 Flask,带薪年假，定期体检，员工旅游，年终奖，节日福利，餐补，五险一金，补充医疗保险,金服银行科技中心,互联网金融,已上市,10000人以上
Python,深圳·南山区,10-20K,1-3年,本科,Linux 后端开发 python开发 网络协议 linux环境,员工旅游，全勤奖，零食下午茶，节日福利，年终奖，五险一金，股票期权，定期体检，餐补，交通补助，带薪年假,途游游戏,游戏,不需要融资,500-999人
Python,深圳·龙岗区,25-50K,3-5年,本科,自然语言处理 机器学习 推荐算法 算法工程师 架构师,节日福利，五险一金，通讯补贴，定期体检，零食下午茶，年终奖,深圳华为,通信/网络设备,不需要融资,10000人以上
Python,深圳,11-18K,3-5年,本科,深度学习算法 精通python Spark 相关算法 Hadoop,定期体检，员工旅游，零食下午茶，五险一金，带薪年假，企业文化，加班补助，节日福利，年终奖，全勤奖,法本,计算机软件,已上市,1000-9999人
Python,深圳·南山区,8-13K,1-3年,本科,Python python开发 运维,免费班车，餐补，节日福利，员工旅游，加班补助，五险一金，零食下午茶，交通补助，定期体检，带薪年假,易宝软件,计算机软件,不需要融资,500-999人
Python,深圳,14-18K,3-5年,本科,Shell Java 反爬 模拟登陆 Xpath,五险一金，年终奖，通讯补贴，股票期权，带薪年假，员工旅游,金证股份,计算机软件,已上市,1000-9999人
python,深圳,9-14K,1-3年,本科,C++ python开发 深度学习框架 算法基础 PyTorch,定期体检，加班补助，五险一金，节日福利，带薪年假，健康管理，年终奖，补充医疗保险，零食下午茶,上海微创软件,计算机软件,不需要融资,1000-9999人
Python,深圳·龙岗区,18-35K,3-5年,本科,Shell Linux Java 计算机软件 常用数据结构,加班补助，节日福利，免费班车，带薪年假，餐补，年终奖，交通补助，定期体检，零食下午茶，住房补贴，股票期权，五险一金，通讯补贴，补充医疗保险,华为,计算机软件,不需要融资,10000人以上
Python,深圳·龙岗区,13-20K,3-5年,本科,Flask Django Linux MySQL 大数据,节日福利，餐补，五险一金，免费班车，带薪年假，员工旅游，加班补助，零食下午茶，年终奖，定期体检,中软国际,计算机软件,已上市,10000人以上
Python,深圳·南山区,20-40K,3-5年,本科,Golang Devops LINUX下 性能调优 devops工具,年终奖，股票期权，带薪年假，定期体检，加班补助，免费班车，包吃，五险一金，餐补，补充医疗保险，员工旅游，节日福利,腾讯,互联网,已上市,10000人以上
Python,深圳,15-30K,1-3年,硕士,全栈开发 Shell JavaScript CSS C++,带薪年假，五险一金，节日福利，年终奖，交通补助，加班补助，补充医疗保险，员工旅游，定期体检,华为技术有限公司,计算机软件,不需要融资,10000人以上
Python,深圳·南山区,10-15K,3-5年,本科,Python Python脚本 开发工程师,包吃，免费班车，通讯补贴，零食下午茶，交通补助，股票期权，五险一金，带薪年假，节日福利，定期体检，员工旅游，餐补，年终奖,顺丰科技,互联网,不需要融资,1000-9999人
