日期,体重lb,体脂率%,数据源
2016-06-17,175.8,22.6,omron
2016-06-18,176.4,22.5,omron
2016-06-20,177.0,22.4,omron
2016-06-21,176.0,21.6,omron
2016-06-23,175.4,21.1,omron
2016-06-24,178.2,20.8,omron
2016-06-27,174.6,22.8,omron
2016-06-28,171.8,22.1,omron
2016-06-29,173.4,23.3,omron
2016-06-30,171.4,22.6,omron
2016-07-01,176.2,20.8,omron
2016-07-06,173.4,20.9,omron
2016-07-07,173.4,21.5,omron
2016-07-18,176.6,21.3,omron
2016-07-19,174.2,22.3,omron
2016-07-20,174.6,21.9,omron
2016-07-21,172.0,23.5,omron
2016-07-23,173.6,22.1,omron
2016-07-25,174.0,22.4,omron
2016-07-26,172.4,22.8,omron
2016-07-27,171.4,22.5,omron
2016-07-28,168.8,22.5,omron
2016-07-29,169.8,22.7,omron
2016-07-30,172.2,21.8,omron
2016-07-31,173.4,22.7,omron
2016-08-01,173.6,22.1,omron
2016-08-02,173.8,21.3,omron
2016-08-03,171.4,21.8,omron
2016-08-04,169.2,22.7,omron
2016-08-05,170.0,22.2,omron
2016-08-07,173.4,22.3,omron
2016-08-08,174.8,22.9,omron
2016-08-10,172.4,22.6,omron
2016-08-11,170.6,22.7,omron
2016-08-12,173.8,22.1,omron
2016-08-13,173.6,19.9,omron
2016-08-14,175.6,21.0,omron
2016-08-15,175.6,21.6,omron
2016-08-16,173.2,22.8,omron
2016-08-18,171.6,22.5,omron
2016-08-19,173.8,21.1,omron
2016-08-21,173.2,22.5,omron
2016-08-22,173.2,23.1,omron
2016-08-23,171.2,23.9,omron
2016-08-24,171.4,22.2,omron
2016-08-25,169.8,23.1,omron
2016-08-26,171.4,21.8,omron
2016-08-27,171.6,22.0,omron
2016-08-28,172.0,21.3,omron
2016-08-29,173.2,20.7,omron
2016-08-30,174.6,19.8,omron
2016-08-31,171.0,21.4,omron
2016-09-01,170.2,23.4,omron
2016-09-02,173.0,20.7,omron
2016-09-03,173.0,21.5,omron
2016-09-04,171.6,21.3,omron
2016-09-05,173.4,22.3,omron
2016-09-06,172.2,21.7,omron
2016-09-07,170.4,21.5,omron
2016-09-08,169.4,20.3,omron
2016-09-09,170.4,21.0,omron
2016-09-09,171.4,15.1,inbody
2016-09-11,169.2,21.3,omron
2016-09-12,171.6,21.4,omron
2016-09-13,171.4,21.3,omron
2016-09-14,170.0,20.9,omron
2016-09-16,171.4,20.9,omron
2016-09-17,173.0,18.7,omron
2016-09-18,175.0,18.7,omron
2016-09-19,174.6,20.8,omron
2016-09-20,171.8,19.8,omron
2016-09-21,169.6,21.7,omron
2016-09-25,171.1,22.2,dexa
2016-09-28,171.0,20.5,omron
2016-09-29,170.0,20.5,omron
2016-09-30,170.6,21.3,omron
2016-10-01,169.2,21.1,omron
2016-10-03,168.6,21.9,omron
2016-10-04,170.6,20.2,omron
2016-10-05,171.2,19.8,omron
2016-10-06,169.6,19.8,omron
2016-10-07,169.2,20.9,omron
2016-10-08,167.0,19.6,omron
2016-10-09,169.4,20.4,omron
2016-10-10,168.2,20.8,omron
2016-10-11,169.2,21.1,omron
2016-10-12,168.7,20.5,omron
2016-10-13,167.4,21.1,omron
2016-10-14,167.6,19.5,omron
2016-10-15,170.4,19.8,omron
2016-10-17,168.2,21.3,omron
2016-10-18,169.2,20.4,omron
2016-10-19,165.4,20.8,omron
2016-10-20,166.4,20.7,omron
2016-10-21,168.0,20.3,omron
2016-10-22,170.2,20.1,omron
2016-10-23,170.2,19.8,omron
2016-10-24,168.8,20.6,omron
2016-10-25,167.0,19.6,omron
2016-10-26,165.8,20.0,omron
2016-10-27,166.8,19.6,omron
2016-10-28,167.4,20.2,omron
2016-10-29,167.4,19.2,omron
2016-10-30,167.8,19.7,omron
2016-10-31,166.2,20.2,omron
2016-11-01,165.0,21.4,omron
2016-11-02,168.6,19.7,omron
2016-11-03,166.0,19.3,omron
2016-11-05,165.8,19.8,omron
2016-11-06,165.2,19.8,omron
2016-11-07,166.8,19.2,omron
2016-11-08,165.8,20.2,omron
2016-11-09,165.4,19.8,omron
2016-11-10,164.8,20.5,omron
2016-11-11,166.0,20.3,omron
2016-11-12,166.6,19.0,omron
2016-11-13,166.0,20.9,omron
2016-11-14,166.4,20.4,omron
2016-11-15,166.8,19.3,omron
2016-11-17,164.6,20.7,omron
2016-11-18,166.2,20.1,omron
2016-11-21,167.4,19.2,omron
2016-11-22,168.2,18.9,omron
